Team	RPREC	NDCG	CLICKS	DATE
GoggleDiaperMind	0.140835	0.283913	4.0316	2018-05-0821:22:28
HAIR	0.091651	0.200074	8.9776	2018-05-1601:35:19
HAIR	0.160073	0.32764	6.8768	2018-05-2206:05:58
HAIR	0.162064	0.335734	3.9394	2018-05-2404:15:01
HAIR	0.162385	0.335998	3.8742	2018-06-0221:49:18
HAIR	0.157443	0.328331	4.4964	2018-06-0422:42:25
HAIR	0.167512	0.344991	3.309	2018-06-0605:39:28
HAIR	0.197237	0.357075	2.3732	2018-06-0818:42:11
HAIR	0.197186	0.357482	2.3544	2018-06-1106:22:32
HAIR	0.205203	0.367459	2.3362	2018-06-1220:51:41
HAIR	0.207794	0.370251	2.332	2018-06-1419:14:57
HAIR	0.213537	0.376964	2.2754	2018-06-2106:23:00
HAIR	0.213434	0.376868	2.237	2018-06-2216:39:39
HAIR	0.194853	0.362178	2.5242	2018-06-2618:04:41
HAIR	0.215499	0.37975	2.21	2018-06-2718:04:53
HAIR	0.216779	0.381419	2.193	2018-06-2816:36:47
HitsHitsHits!	0.01738	0.035663	17.9772	2018-06-2820:39:50
IAI	0.147829	0.302002	2.7628	2018-06-0611:19:33
IAI	0.171814	0.302002	2.7628	2018-06-0611:19:33
IAI	0.175908	0.318633	3.2464	2018-06-1418:48:04
IAI	0.049428	0.141543	8.934	2018-07-0111:40:07
IN3PD	0.034829	0.100697	13.518	2018-05-0914:29:33
IN3PD	0.07756	0.257175	4.4462	2018-05-1413:40:05
IN3PD	0.075768	0.252282	4.5204	2018-05-1617:00:07
IN3PD	0.069427	0.213329	7.8118	2018-05-1716:35:39
IN3PD	0.07528	0.250459	4.4976	2018-05-1817:38:23
IN3PD	0.165814	0.337693	4.7666	2018-05-2310:39:41
IN3PD	0.17403	0.354122	3.5102	2018-05-2420:28:56
IN3PD	0.178954	0.363374	2.6938	2018-06-0317:22:19
IN3PD	0.203563	0.363908	2.6778	2018-06-0913:45:52
IN3PD	0.204139	0.36512	2.6046	2018-06-1618:38:34
IN3PD	0.203387	0.362	2.4148	2018-06-2119:31:41
IN3PD	0.204481	0.364244	2.2488	2018-06-2621:17:38
IN3PD	0.207614	0.369441	2.1356	2018-06-2823:09:04
IN3PD	0.207924	0.371931	2.0212	2018-06-2922:33:11
Itachi_Uchiha	0.036258	0.092339	10.6064	2018-05-0113:21:52
Itachi_Uchiha	0.043701	0.092339	10.6064	2018-05-0113:21:52
JAM	0.034767	0.10059	13.4746	2018-05-0220:32:28
JAM	0.132231	0.273868	3.7354	2018-06-0308:22:26
JAM	0.151409	0.317288	2.77	2018-06-0500:15:06
JAM	0.155786	0.325589	2.836	2018-06-0523:31:18
JAM	0.050543	0.124072	7.2602	2018-06-0720:06:29
JAM	0.073084	0.124072	7.2602	2018-06-0720:06:29
JAM	0.088644	0.167911	9.2936	2018-06-1400:25:56
JAM	0.158214	0.294295	3.3002	2018-06-1422:19:57
JAM	0.120459	0.199326	6.8708	2018-06-2021:28:35
JAM	0.103122	0.195443	8.8368	2018-06-2314:25:32
JAM	0.103122	0.195443	8.8368	2018-06-2419:27:48
JAM	0.125434	0.22937	4.3542	2018-06-2600:18:42
JAM	0.073945	0.127593	9.326	2018-06-2623:19:10
JAM	0.073945	0.127593	9.326	2018-06-2700:00:44
JAM	0.057542	0.123293	10.1704	2018-06-2900:43:03
JAM	0.130581	0.219796	6.7162	2018-06-3000:55:05
JKU-Beta	0.037695	0.158176	7.0596	2018-05-0500:02:37
JKU-Beta	0.039681	0.168451	6.47	2018-05-2121:18:38
JKU-Beta	0.049148	0.215328	4.5264	2018-05-2223:01:40
JKU-Beta	0.049148	0.215328	4.5264	2018-05-2318:56:00
JKU-Beta	0.066159	0.170124	7.962	2018-05-3118:22:59
JKU-Beta	0.074309	0.170124	7.962	2018-05-3118:22:59
JKU-Beta	0.049645	0.119369	13.1324	2018-06-1516:40:34
JKU-Beta	0.066959	0.190498	6.919	2018-06-2122:24:26
