Team	RPREC	NDCG	CLICKS	DATE
cocoplaya	0.193014	0.349799	2.0652	2018-06-2019:58:16
cocoplaya	0.202281	0.364452	2.0134	2018-06-2214:51:18
cocoplaya	0.191727	0.347912	2.0386	2018-06-2422:32:57
cocoplaya	0.191727	0.347912	2.0386	2018-06-2619:14:06
cocoplaya	0.201965	0.365048	1.9232	2018-06-2721:45:34
cocoplaya	0.203439	0.364715	1.9354	2018-06-2822:15:14
diblois	0.017423	0.033827	32.085999	2018-06-2222:15:13
diblois	0.017423	0.033827	32.086	2018-06-2222:15:13
insightify	0.01912	0.013429	37.365398	2018-06-1018:55:27
insightify	0.015905	0.011712	41.046398	2018-06-1101:31:54
insightify	0.16477	0.2939	6.2988	2018-06-1213:08:13
insightify	0.015572	0.014014	36.483002	2018-06-2621:10:57
insightify	0.16477	0.2939	6.2988	2018-06-2721:41:00
minrva	0.058595	0.089597	13.1988	2018-06-2609:36:09
mpac	0.159245	0.33208	3.4344	2018-05-0805:21:40
mpac	0.182823	0.33208	3.4344	2018-05-0805:21:40
spotif.ai	0.051938	0.165652	8.6126	2018-06-0322:51:33
spotif.ai	0.143425	0.287358	6.7142	2018-06-0620:27:42
spotif.ai	0.168357	0.300822	6.1292	2018-06-1021:00:43
spotif.ai	0.196901	0.349157	2.7568	2018-06-2123:10:14
spotif.ai	0.195745	0.346408	2.8558	2018-06-2223:53:01
spotif.ai	0.195626	0.348368	2.617	2018-06-2623:25:38
spotif.ai	0.186592	0.327754	2.5724	2018-06-2823:32:29
teamrozik	0.163925	0.306755	3.685	2018-06-2115:29:53
teamrozik	0.184494	0.322831	3.5242	2018-06-2214:11:14
teamrozik	0.185556	0.323876	3.489	2018-06-2314:34:02
teamrozik	0.187704	0.325429	3.4662	2018-06-2417:39:10
teamrozik	0.200861	0.351999	2.9406	2018-06-2609:49:14
teamrozik	0.198376	0.349956	2.9186	2018-06-2716:14:49
teamrozik	0.205112	0.361118	2.2122	2018-06-2820:15:28
